[2025-03-11T02:51:40.826Z] AAB.TO: Fetched market_cap=null, revenue=null, net_income=null, etc.
[2025-03-11T02:51:56.111Z] IRV.CN: Fetched market_cap=null, revenue=null, net_income=null, etc.
[2025-03-11T02:52:11.406Z] ITH.TO: Fetched market_cap=null, revenue=null, net_income=-5271450, etc.
[2025-03-11T02:52:26.715Z] ITR.V: Fetched market_cap=null, revenue=null, net_income=null, etc.
[2025-03-11T03:07:35.164Z] AAB.TO: Fetched market_cap=null, revenue=null, net_income=null, etc.
[2025-03-11T03:24:24.915Z] AAB.TO: Fetched market_cap=null, revenue=null, net_income=null, etc.
[2025-03-11T03:24:40.206Z] IRV.CN: Fetched market_cap=null, revenue=null, net_income=null, etc.
[2025-03-11T03:24:55.497Z] ITH.TO: Fetched market_cap=null, revenue=null, net_income=-5271450, etc.
[2025-03-11T03:34:39.666Z] AAB.TO: Fetched market_cap=null, revenue=null, net_income=null, etc.
[2025-03-11T03:34:54.962Z] IRV.CN: Fetched market_cap=null, revenue=null, net_income=null, etc.
[2025-03-11T03:35:10.243Z] ITH.TO: Fetched market_cap=null, revenue=null, net_income=-5271450, etc.
[2025-03-11T03:35:25.532Z] ITR.V: Fetched market_cap=null, revenue=null, net_income=null, etc.
[2025-03-11T03:35:40.854Z] AAG.V: Fetched market_cap=null, revenue=null, net_income=null, etc.
[2025-03-11T03:35:56.180Z] AAN.V: Fetched market_cap=null, revenue=null, net_income=-2465880, etc.
[2025-03-11T03:36:11.457Z] AAUC.TO: Fetched market_cap=null, revenue=655691000, net_income=-208482000, etc.
[2025-03-11T03:36:26.739Z] ABI.V: Fetched market_cap=null, revenue=null, net_income=-5337040, etc.
[2025-03-11T03:36:42.027Z] ABRA.TO: Fetched market_cap=null, revenue=null, net_income=-13728560, etc.
[2025-03-11T03:36:57.380Z] ADY.V: Fetched market_cap=null, revenue=null, net_income=null, etc.
[2025-03-11T03:37:12.727Z] ADZ.V: Fetched market_cap=null, revenue=null, net_income=null, etc.
[2025-03-11T03:37:28.076Z] AE.V: Fetched market_cap=null, revenue=null, net_income=null, etc.
[2025-03-11T03:37:43.378Z] AEM.TO: Fetched market_cap=null, revenue=8285753000, net_income=1895581000, etc.
[2025-03-11T03:37:58.674Z] AERO.V: Fetched market_cap=null, revenue=null, net_income=null, etc.
[2025-03-11T03:38:14.042Z] AG.TO: Fetched market_cap=null, revenue=797442370, net_income=-144928360, etc.
[2025-03-11T03:38:29.374Z] AGA.V: Fetched market_cap=null, revenue=null, net_income=null, etc.
[2025-03-11T03:38:44.678Z] AGAG.V: Fetched market_cap=null, revenue=null, net_income=null, etc.
[2025-03-11T03:38:59.991Z] AGI.TO: Fetched market_cap=null, revenue=1346900000, net_income=284300000, etc.
[2025-03-11T03:39:15.294Z] AGLD.V: Fetched market_cap=null, revenue=null, net_income=null, etc.
[2025-03-11T03:39:30.711Z] AGMR.V: Fetched market_cap=null, revenue=null, net_income=null, etc.
[2025-03-11T03:40:01.834Z] AGX.V: Failed to fetch data
[2025-03-11T03:40:01.995Z] ALDE.V: Fetched market_cap=null, revenue=null, net_income=null, etc.
[2025-03-11T03:40:17.296Z] ALEX.V: Fetched market_cap=null, revenue=null, net_income=null, etc.
[2025-03-11T03:40:32.622Z] ALTA.V: Fetched market_cap=null, revenue=null, net_income=null, etc.
[2025-03-11T03:40:47.922Z] AMC.TO: Fetched market_cap=null, revenue=null, net_income=-24348030, etc.
[2025-03-11T03:41:03.211Z] AMQ.CN: Fetched market_cap=null, revenue=null, net_income=null, etc.
[2025-03-11T03:41:18.498Z] AMRQ.V: Fetched market_cap=null, revenue=null, net_income=-613790, etc.
[2025-03-11T03:41:33.821Z] AMX.V: Fetched market_cap=null, revenue=null, net_income=680170, etc.
[2025-03-11T03:41:49.130Z] ANK.V: Fetched market_cap=null, revenue=null, net_income=-5681410, etc.
[2025-03-11T03:42:04.454Z] ANTL.V: Fetched market_cap=null, revenue=null, net_income=null, etc.
[2025-03-11T03:42:19.760Z] AOT.TO: Fetched market_cap=null, revenue=null, net_income=-10430000, etc.
[2025-03-11T03:42:35.040Z] APGO.V: Fetched market_cap=null, revenue=null, net_income=-2710850, etc.
[2025-03-11T03:42:50.332Z] APM.TO: Fetched market_cap=null, revenue=125324000, net_income=38540000, etc.
[2025-03-11T03:43:05.631Z] ARIC.V: Fetched market_cap=null, revenue=null, net_income=null, etc.
[2025-03-11T03:43:20.945Z] ARIS.TO: Fetched market_cap=null, revenue=447674000, net_income=11419000, etc.
[2025-03-11T03:43:36.256Z] ARK.V: Fetched market_cap=null, revenue=null, net_income=null, etc.
[2025-03-11T03:43:51.542Z] ARTG.V: Fetched market_cap=null, revenue=null, net_income=-8476930, etc.
[2025-03-11T03:44:06.815Z] ARU.V: Fetched market_cap=null, revenue=null, net_income=-9971550, etc.
[2025-03-11T03:44:22.081Z] ASE.CN: Fetched market_cap=null, revenue=274729000, net_income=null, etc.
[2025-03-11T03:44:37.391Z] ASM.TO: Fetched market_cap=null, revenue=59511730, net_income=734930, etc.
[2025-03-11T03:44:52.682Z] ASTR.V: Fetched market_cap=null, revenue=null, net_income=null, etc.
[2025-03-11T03:45:07.995Z] ATHA.CN: Fetched market_cap=null, revenue=null, net_income=null, etc.
[2025-03-11T03:45:30.251Z] AU.V: Fetched market_cap=null, revenue=null, net_income=-2877370, etc.
[2025-03-11T03:45:45.529Z] AUAU.V: Fetched market_cap=null, revenue=null, net_income=-2850900, etc.
[2025-03-11T03:46:00.810Z] AWM.V: Fetched market_cap=null, revenue=null, net_income=null, etc.
[2025-03-11T03:46:16.150Z] AUM.V: Fetched market_cap=null, revenue=2905190, net_income=-5505610, etc.
